0.1	2e-05
0.2	0.00013
0.3	0.00055
0.4	0.00146
0.5	0.00338
0.6	0.00656
0.7	0.0105
0.8	0.01579
0.9	0.02232
1	0.02998
1.1	0.03934
1.2	0.05033
1.3	0.06349
1.4	0.07704
1.5	0.09169
1.6	0.10828
1.7	0.12635
1.8	0.14491
1.9	0.16501
2	0.18573
2.1	0.20669
2.2	0.22946
2.3	0.25177
2.4	0.27356
2.5	0.2967
2.6	0.32005
2.7	0.34369
2.8	0.36727
2.9	0.39092
3	0.41369
3.1	0.43662
3.2	0.45958
3.3	0.48173
3.4	0.50338
3.5	0.52564
3.6	0.54764
3.7	0.56844
3.8	0.58814
3.9	0.60722
4	0.62599
4.1	0.64405
4.2	0.66206
4.3	0.67939
4.4	0.69535
4.5	0.7113
4.6	0.72594
4.7	0.74021
4.8	0.75459
4.9	0.76812
5	0.7807
5.1	0.79311
5.2	0.80525
5.3	0.81644
5.4	0.82716
5.5	0.83721
5.6	0.84679
5.7	0.85553
5.8	0.86459
5.9	0.87239
6	0.88028
6.1	0.88718
6.2	0.89389
6.3	0.90096
6.4	0.90743
6.5	0.91316
6.6	0.91874
6.7	0.92401
6.8	0.92911
6.9	0.9331
7	0.93725
7.1	0.94131
7.2	0.94512
7.3	0.94877
7.4	0.95213
7.5	0.95514
7.6	0.95812
7.7	0.96075
7.8	0.96323
7.9	0.96585
8	0.96801
8.1	0.97009
8.2	0.97188
8.3	0.97377
8.4	0.97576
8.5	0.97747
8.6	0.97897
8.7	0.98057
8.8	0.98175
8.9	0.98322
9	0.98457
9.1	0.98573
9.2	0.98677
9.3	0.98781
9.4	0.9886
9.5	0.9894
9.6	0.99
9.7	0.99073
9.8	0.99137
9.9	0.99198
10	0.99257
10.1	0.9931
10.2	0.99351
10.3	0.99396
10.4	0.99437
10.5	0.99482
10.6	0.99521
10.7	0.99562
10.8	0.99606
10.9	0.99641
11	0.99671
11.1	0.99703
11.2	0.99725
11.3	0.99738
11.4	0.99756
11.5	0.99775
11.6	0.99784
11.7	0.99811
11.8	0.99824
11.9	0.99841
12	0.99853
12.1	0.99858
12.2	0.9987
12.3	0.99879
12.4	0.99889
12.5	0.99896
12.6	0.99901
12.7	0.99907
12.8	0.99915
12.9	0.99927
13	0.99935
13.1	0.9994
13.2	0.99944
13.3	0.99951
13.4	0.99953
13.5	0.99956
13.6	0.99957
13.7	0.99959
13.8	0.99962
13.9	0.99964
14	0.99969
14.1	0.99975
14.2	0.99976
14.3	0.99977
14.4	0.99979
14.5	0.99981
14.6	0.99982
14.7	0.99983
14.8	0.99983
14.9	0.99983
15	0.99984
15.1	0.99987
15.2	0.99987
15.3	0.9999
15.4	0.99991
15.5	0.99992
15.6	0.99993
15.7	0.99993
15.8	0.99994
15.9	0.99994
16	0.99994
16.1	0.99994
16.2	0.99996
16.3	0.99996
16.4	0.99996
16.5	0.99996
16.6	0.99996
16.7	0.99996
16.8	0.99996
16.9	0.99996
17	0.99996
17.1	0.99997
17.2	0.99998
17.3	0.99999
17.4	0.99999
17.5	1
17.6	1
17.7	1
17.8	1
17.9	1
18	1
